Key Id,Tournament Id,tournament Name,Match Id,Match Name,Stage Name,Group Name,Group Stage,Knockout Stage,Replayed,Replay,Match Date,Match Time,Stadium Id,Stadium Name,City Name,Country Name,Home Team Id,Home Team Name,Home Team Code,Away Team Id,Away Team Name,Away Team Code,Score,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin,Extra Time,Penalty Shootout,Score Penalties,Home Team Score Penalties,Away Team Score Penalties,Result,Home Team Win,Away Team Win,Draw
284,WC-1978,1978 FIFA World Cup,M-1978-14,Brazil v Spain,group_stage,Group 3,Yes,0,0,0,6/7/1978,13:45,S-004,Estadio José María Minella,Mar del Plata,Argentina  ,T-09,Brazil,BRA,T-71,Spain,ESP,00,0,0,0,0,0,0,0-0,0,0,tie,0,0,1
775,WC-2014,2014 FIFA World Cup,M-2014-03,Spain v Netherlands,group stage,Group B,1,0,0,0,6/13/2014,16:00,S-021,Arena Fonte Nova,Salvador,Brazil,T-71,Spain,ESP,T-46,Netherlands,NLD,1 - 5,1,5,-4,4,0,0,0-0,0,0,away team win,0,1,YES
707,WC-2006,2006 FIFA World Cup,M-2006-63,Germany v Portugal,third-place match,not applicable,0,1,0,0,7/8/2006,21:00,S-067,Neckarstadion,Stuttgart,Germany,T-29,Germany,DEU,T-56,Portugal,PRT  ,31,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0
226,WC-1970,1970 FIFA World Cup,M-1970-26,Italy v Mexico,quarter-finals,not applicable,0,1,0,0,6/14/1970,12:00,S-106,La Bombonera,Toluca,Mexico,T-39,Italy,ITA,T-44,mexico,MEX,41,4,1,3,-3,0,true,0-0,0,0,home team win,1,0,0
27,WC-1934,1934 FIFA World Cup,M-1934-09,Austria v Hungary,quarter-finals,not applicable,0,1,0,0,5/31/1934,16:30,S-069,  Stadio Renato Dall'Ara,Bologna  ,Italy,T-05,Austria,AUT,T-34,hungary,HUN,21,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0
844,WC-2018,2018 FIFA WORLD CUP,M-2018-08,Croatia v Nigeria,group stage,Group D,True,0,0,0,6/16/2018,21:00,S-115,kaliningrad stadium,Kaliningrad,Russia,T-17,Croatia,HRV,T-48,Nigeria,NGA,20,2,0,2,-2,0,0,0-0,0,0,HOME TEAM WIN,,0,0
438,WC-1990,1990 FIFA World Cup,M-1990-26,Cameroon v Soviet Union,group stage,N/A,1,0,0,0,6/18/1990,21:00,S-068,Stadio San Nicola,Bari,Italy  ,T-11,Cameroon,CMR,T-70,Soviet Union,SUN,04,0,4,-4,4,0,0,0-0,0,0,away team win,0,1,0
,XXX,???,INVALID,??,???,N/A,N/A,abc,,,9999-99-99,abc,N/A,,,Unknown,,,XX,,???,??,N/A,N/A,-99,,,,,,,,N/A,,,
365,WC-1986,1986 FIFA World Cup,M-1986-05,Soviet Union v Hungary,group stage,Group C,1,0,0,0,6/2/1986,12:00,S-097,Estadio Sergio León Chavez,Irapuato,Mexico,T-70,Soviet Union,SUN,T-34,Hungary,HUN,60,6,0,6,-6,0,0,0-0,0,0,home team win,1,0,0
230,WC-1970,1970 FIFA World Cup,M-1970-30,Italy v West Germany,SEMI-FINALS,not applicable,0,false,0,0,6/17/1970,16:00,S-099,Estadio Azteca,Mexico City,Mexico,T-39,Italy,Ita,T-83,west germany,DEU,43,4,3,1,-1,1,0,0-0,0,0,home team win,1,0,0
38,WC-1938,1938 FIFA World Cup,M-1938-03,France v Belgium,round of 16,not applicable,0,1,0,0,6/5/1938,NULL,S-046,  Stade Olympique de Colombes,N/A,France,T-28,France,FRA,T-06,Belgium,BEL,31,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0
670,WC-2006,2006 Fifa World Cup,M-2006-26,Italy v United States,group stage,Group E,1.0,0,0,0,6/17/2006,21:00,S-062,Fritz-Walter-Stadion,Kaiserslautern,Germany,T-39,Italy,ITA,T-80,United States,USA,11,1,1,0,0,0,0,0-0,0,0,draw,0,0,1
,XXX,Unknown Tournament,INVALID,  ??,unknown,,N/A,,,,9999-99-99,,,Unknown,Unknown,N/A,,N/A,??,,,??,,,-99,,,,,,,,unknown,,,
